City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Khatanga,RU,71.97,102.5,45.5,62,0,14.38,clear sky
85,Grahamstown,ZA,-33.3,26.53,50.16,90,100,5.95,overcast clouds
86,Barrow,US,71.29,-156.79,46.4,87,90,5.82,overcast clouds
87,Baruun-Urt,MN,46.68,113.28,57.54,56,0,5.26,clear sky
88,Hasaki,JP,35.73,140.83,84.2,83,20,4.7,few clouds
89,Hermanus,ZA,-34.42,19.23,50.0,94,0,6.08,clear sky
90,Adiake,CI,5.29,-3.3,75.2,94,20,6.93,few clouds
91,Hamilton,US,39.18,-84.53,81.0,42,1,3.36,clear sky
92,Klaksvik,FO,62.23,-6.59,50.0,100,40,2.24,scattered clouds
93,Keuruu,FI,62.27,24.7,59.0,87,0,6.93,clear sky
94,Worthington,US,40.09,-83.02,80.6,39,1,9.17,clear sky
95,Liyang,CN,29.71,118.29,86.0,93,75,1.23,broken clouds
96,Puerto Rico,AR,-26.8,-55.02,44.28,68,41,4.52,scattered clouds
97,Adwa,ET,14.16,38.9,61.05,90,51,1.14,broken clouds
98,Gornopravdinsk,RU,60.05,69.9,51.3,97,69,3.6,broken clouds
99,Bredasdorp,ZA,-34.53,20.04,46.4,93,23,2.24,few clouds
100,Tual,ID,-5.67,132.75,79.14,82,15,12.91,few clouds
101,Palu,ID,-0.89,119.87,76.93,76,77,3.58,broken clouds
102,Cockburn Town,TC,21.46,-71.14,84.2,70,40,13.87,scattered clouds
103,Siniscola,IT,40.57,9.69,73.4,83,0,1.12,clear sky
104,Riyadh,SA,24.69,46.72,84.2,21,0,3.36,clear sky
105,Norman Wells,CA,65.28,-126.83,66.2,42,40,17.22,scattered clouds
106,Castro,BR,-24.79,-50.01,51.82,97,100,2.93,light rain
107,Tahara,JP,34.67,137.27,88.0,79,75,3.36,broken clouds
108,Dingle,PH,11.0,122.67,77.83,88,98,3.67,overcast clouds
109,Bajna,IN,27.9,77.68,79.99,83,99,11.21,overcast clouds
110,Cape Town,ZA,-33.93,18.42,55.0,93,4,2.24,fog
111,Naze,JP,28.37,129.48,86.0,79,20,2.24,few clouds
112,Makakilo City,US,21.35,-158.09,87.8,55,90,12.75,overcast clouds
113,Mao,ES,39.89,4.27,78.8,83,19,8.05,few clouds
114,Cairns,AU,-16.92,145.77,77.0,68,0,1.12,clear sky
115,Fort Saint James,CA,54.43,-124.25,61.03,84,100,6.2,light rain
116,Yellowknife,CA,62.46,-114.35,59.0,51,20,3.36,few clouds
117,Kahului,US,20.89,-156.47,91.4,41,40,21.92,scattered clouds
118,Valparaiso,CL,-33.04,-71.63,57.2,50,0,6.93,clear sky
119,Clyde River,CA,70.47,-68.59,46.4,93,75,12.75,light rain
120,Iskateley,RU,67.68,53.15,46.65,97,17,8.97,few clouds
121,Kathmandu,NP,27.72,85.32,69.8,100,75,0.67,broken clouds
122,Srivardhan,IN,18.03,73.02,80.06,87,100,13.2,moderate rain
123,Fortuna,US,40.6,-124.16,75.99,34,0,7.0,clear sky
124,Saldanha,ZA,-33.01,17.94,50.0,87,23,3.36,few clouds
125,Goure,NE,13.98,10.27,82.0,71,100,4.0,overcast clouds
126,Tautira,PF,-17.73,-149.15,80.6,69,75,4.7,broken clouds
127,Borba,BR,-4.39,-59.59,86.92,38,71,1.86,broken clouds
128,Vanimo,PG,-2.67,141.3,82.11,73,1,6.8,clear sky
129,Sinop,TR,41.77,34.87,62.1,87,84,3.02,broken clouds
130,Prescott,US,34.54,-112.47,93.2,21,1,3.36,clear sky
131,Port Elizabeth,ZA,-33.92,25.57,55.4,93,100,8.05,overcast clouds
132,Los Llanos De Aridane,ES,28.66,-17.92,72.0,78,0,5.82,clear sky
133,Geraldton,AU,-28.77,114.6,53.6,76,100,10.29,overcast clouds
134,Imbituba,BR,-28.24,-48.67,51.8,71,90,12.75,overcast clouds
135,Kruisfontein,ZA,-34.0,24.73,53.01,89,100,1.01,light rain
136,Cidreira,BR,-30.18,-50.21,47.46,62,9,13.53,clear sky
137,Puerto Leguizamo,CO,-0.19,-74.78,83.14,69,92,1.59,overcast clouds
138,Peniche,PT,39.36,-9.38,70.0,95,91,4.5,overcast clouds
139,Bonavista,CA,48.65,-53.11,64.0,76,1,11.01,clear sky
140,Itarema,BR,-2.92,-39.92,77.59,79,55,13.09,broken clouds
141,Quatre Cocos,MU,-20.21,57.76,70.0,77,20,5.82,few clouds
142,Tutoia,BR,-2.76,-42.27,79.41,80,59,11.32,broken clouds
143,Thompson,CA,55.74,-97.86,78.8,41,40,6.93,scattered clouds
144,Lorengau,PG,-2.02,147.27,84.88,70,21,10.2,few clouds
145,Killybegs,IE,54.63,-8.45,60.01,91,100,10.0,moderate rain
146,Fort Morgan,US,40.25,-103.8,87.8,25,40,4.7,scattered clouds
147,Katsina,NG,12.99,7.6,79.3,71,94,15.93,overcast clouds
148,Puerto Colombia,CO,10.99,-74.95,78.8,94,75,3.36,shower rain
149,Avarua,CK,-21.21,-159.78,78.8,83,9,23.04,clear sky
150,Bastrop,US,32.76,-91.87,89.6,45,1,3.36,clear sky
151,Ust-Nera,RU,64.57,143.2,43.0,61,22,6.24,few clouds
152,Pelym,RU,61.01,62.0,51.62,97,58,6.62,broken clouds
153,Pamekasan,ID,-7.16,113.47,78.06,80,7,11.03,clear sky
154,Berbera,SO,10.44,45.01,91.78,44,4,20.0,clear sky
155,Komsomolskiy,UZ,40.43,71.72,69.8,52,74,6.93,broken clouds
156,Henties Bay,NA,-22.12,14.28,58.51,38,0,6.69,clear sky
157,Severo-Kurilsk,RU,50.68,156.12,54.16,74,58,19.42,broken clouds
158,Bongor,TD,10.28,15.37,72.72,91,100,4.41,overcast clouds
159,Jieshi,CN,22.81,115.83,81.43,80,97,7.94,overcast clouds
160,Ostrovnoy,RU,68.05,39.51,54.34,81,42,15.66,scattered clouds
161,Saint George,US,37.1,-113.58,107.6,9,1,13.87,clear sky
162,Payakumbuh,ID,-0.22,100.63,70.27,90,66,1.36,broken clouds
163,Lebu,CL,-37.62,-73.65,50.52,82,0,19.6,clear sky
164,Portland,US,45.52,-122.68,82.99,37,75,6.93,broken clouds
165,Caravelas,BR,-17.71,-39.25,72.09,85,0,4.99,clear sky
