City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Katsuura,JP,86.0,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
196,Miri,MY,77.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
200,Ios,GR,75.2,clear sky,36.73,25.28,Ios Palace Hotel & Spa
202,Koplik,AL,75.2,clear sky,42.21,19.44,Hotel Antonis
203,Junction City,US,87.8,clear sky,39.03,-96.83,Comfort Inn Express Junction City
204,Sumenep,ID,78.71,clear sky,-7.02,113.87,OYO 3271 Homestay Pandian
205,Utmanzai,PK,78.8,haze,34.19,71.76,Durrani’s Qala
208,Marrakesh,MA,84.2,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
211,Kavaratti,IN,82.27,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
218,Salo,IT,77.0,clear sky,45.61,10.53,Park Hotel Casimiro Village - Blu Hotels
219,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
220,Marsh Harbour,BS,84.13,broken clouds,26.54,-77.06,Abaco Beach Resort
223,Celestun,MX,82.31,moderate rain,20.87,-90.4,Posada Lilia
225,Osoyoos,CA,82.0,broken clouds,49.03,-119.45,Watermark Beach Resort Hotel
226,Houma,US,87.01,clear sky,29.6,-90.72,Courtyard by Marriott Houma
227,Haapiti,PF,80.6,broken clouds,-17.57,-149.87,Linareva Moorea Beach Resort
233,Victoria,HK,82.99,broken clouds,22.29,114.16,Mini Hotel Central
235,Ixtapa,MX,89.01,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
242,Jaca,ES,77.0,clear sky,42.57,-0.55,Hotel Real Jaca & Spa
244,Maicao,CO,84.61,moderate rain,11.38,-72.24,Hotel Fronterita
247,Poptun,GT,77.99,light rain,16.33,-89.42,Hotel Izalco
248,Karachi,PK,86.0,scattered clouds,24.91,67.08,Hillside Homes
249,Grand-Santi,GF,82.81,broken clouds,4.25,-54.38,Hotel La Villa Couacou
261,Sao Felix Do Xingu,BR,81.9,few clouds,-6.64,-51.99,Apart Hotel Rio Xingu
264,Pundaguitan,PH,82.44,clear sky,6.37,126.17,Leonardo Family Beach House 1
271,San Quintin,MX,79.65,light rain,30.48,-115.95,Old Mill Hotel
273,Dahra,DZ,89.6,few clouds,36.25,0.85,Ein Mtabol
277,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
284,Touros,BR,77.0,few clouds,-5.2,-35.46,INN NEW HORIZON
285,Espanola,US,90.0,clear sky,35.99,-106.08,Santa Claran Hotel
286,Belsand,IN,80.1,overcast clouds,26.45,85.4,R.S.Computer CSC Center
288,Ishigaki,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
289,Bandarbeyla,SO,76.39,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
290,Harper,LR,75.02,broken clouds,4.38,-7.72,Screensaver
296,Saint-Junien,FR,77.0,light rain,45.88,0.9,Hotel The Originals Saint-Junien Le Boeuf Rouge
299,Salalah,OM,78.8,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
300,Carmen,MX,86.0,broken clouds,18.63,-91.83,Hotel Lossandes
